地域階層,地域コード,地域,District,マーク Mark,総数 Total,宅地 Residential,その他 Other use,その他 Other use／うち屋外利用地 of which are open air,公園等 Parks etc.,未利用地等 Unused land etc.,道路等 Roads and others,道路等 Roads and others／うち道路 of which are roads,農用地 Farm use ,水面河川水路 Water space， rivers and canals ,森林 Woods and forests,原野 Fields
1,13303,瑞穂町,Mizuho-machi,,1683.8,537,308.4,87.2,39.7,47.9,171.4,166.5,257.1,5.1,309.2,8
1,13305,日の出町,Hinode-machi,,2805.2,339.2,91.9,39.9,38.1,36.8,111.9,111.9,129.8,25.7,1978.6,53.1
1,13307,檜原村,Hinohara-mura,,10537.9,99.1,52,14.9,4.8,7.2,91.3,91.3,154.4,50.7,10014.2,64.2
1,13308,奥多摩町,Okutama-machi,,22534.3,172,195.3,31.4,22.6,17.9,155,147.8,96.7,499.8,21341.6,33.5
0,13350,島部,All islands,,33482.4,1212.3,332.6,258.6,257.4,200.3,1059,745.6,1670,67.7,21967.1,6716.1
1,13361,大島町,Oshima-machi,,9077.9,453.7,90.8,87.7,101.6,53,299.1,217.7,330.6,17,5805.6,1926.4
1,13362,利島村,Toshima-mura,,406,15.3,2.9,2.9,2.9,0.3,18.4,11.2,9.2,0.1,273.5,83.3
1,13363,新島村,Niijima-mura,,2719.9,121.5,66.6,13.6,37.8,16,101.3,66.8,69.1,0.8,1904.9,402
1,13364,神津島村,Kozushima-mura,,1837.8,45.6,6.5,5.9,10.9,8.2,79.1,36.9,185.2,3.9,1012.3,486.1
1,13381,三宅村,Miyake-mura,,5523.5,138.8,90.2,90.2,7.2,24.5,162,118,93.9,27.1,2391.3,2588.5
1,13382,御蔵島村,Mikurajima-mura,,2039,9.6,1.2,1.2,3.2,0.7,20.1,15.1,28.7,0.6,1706,268.8
1,13401,八丈町,Hachijo-machi,,6906.6,351,36,31.9,67.9,82.3,308,218.9,837.5,8.8,4921,294.2
1,13402,青ヶ島村,Aogashima-mura,,595.4,15.5,3.3,3.3,0.8,5.2,13.5,11.1,42.8,0.1,337.9,176.2
1,13421,小笠原村,Ogasawara-mura,,4376.5,61.3,35.1,21.8,25.2,10,57.4,50,72.9,9.3,3614.6,490.6
,,,,,,,,,,,,,,,,
東京都統計年鑑（令和6年）TOKYO STATISTICAL YEARBOOK ( 2024 )　1  土地・気象 1   LAND AND CLIMATE,,,,,,,,,,,,,,,,
1-2 地域別土地利用面積（令和3年又は4年） 1-2 LAND USE BY DISTRICT ( 2021 or 2022 ）,,,,,,,,,,,,,,,,
区部は令和3年、市部、郡部、島部は令和4年の調査結果である。,,,,,,,,,,,,,,,,
Figures of 2021 for the metropolitan Ku areas and figures of 2022 for the Shi， Gun and Islands districts.,,,,,,,,,,,,,,,,
注 1) 地域の「中央防波堤」 は、中央防波堤付近の埋立地を示している。,,,,,,,,,,,,,,,,
2) 土地利用区分の凡例   ,,,,,,,,,,,,,,,,
その他：屋外利用地、 採石場、 ごみ捨て場等,,,,,,,,,,,,,,,,
屋外利用地：太陽光発電システムを直接整備している土地、 平面駐車場、 材料置き場、  屋外展示場、 飯場等,,,,,,,,,,,,,,,,
公園等：公園緑地、 運動場、 野球場、 遊園地、 ゴルフ場、 テニスコート、 墓地等,,,,,,,,,,,,,,,,
未利用地等：未建築宅地、 区画整理中の宅地、 取りこわし跡地、 廃屋、 埋め立て地等,,,,,,,,,,,,,,,,
道路等：道路、 鉄道、 軌道、 モノレール、 空港、 港湾,,,,,,,,,,,,,,,,
道路：街路、 歩行者道路、 自転車道路、 農道、 林道、 団地内通路,,,,,,,,,,,,,,,,
農用地：田、 畑、 樹園地、 採草放牧地,,,,,,,,,,,,,,,,
水面・河川・水路：河川、 運河、 湖沼、 遊水池等,,,,,,,,,,,,,,,,
森林：樹林、 竹林、山地、竹木が集団的に生育する土地等,,,,,,,,,,,,,,,,
原野：野草地等小かん木類が生育する自然のままの土地、 荒地等,,,,,,,,,,,,,,,,
Note: 1)  Indicates reclaimed land in the vicinity of the Central Breakwater. ,,,,,,,,,,,,,,,,
2) Details of land use category:  ,,,,,,,,,,,,,,,,
Other use: Open-air areas， quarries， refuse dumping-grounds， etc.,,,,,,,,,,,,,,,,
Open air: Land equipped with solar power generation systems， level parking lots， storage yards， exhibition space， construction camps， etc.,,,,,,,,,,,,,,,,
Parks， etc.: Parks， athletic fields， baseball grounds， amusement parks， golf links， tennis courts， cemeteries， etc.,,,,,,,,,,,,,,,,
Unused land， etc.: Residential sites prior to construction， residential lands under land readjustment， demolished sites， deserted buildings， reclaimed land， etc.,,,,,,,,,,,,,,,,
Roads and others: Roads， railway tracks， monorail tracks， airports， seaports.,,,,,,,,,,,,,,,,
Roads: Urban roads， pavements， bicycle roads， farm roads， forest roads， private roads within apartment blocks.,,,,,,,,,,,,,,,,
Farm use: Rice paddies， ordinary fields， orchards， grazing lands.,,,,,,,,,,,,,,,,
Water space， rivers and canals: Rivers， canals， lakes， ponds， etc.,,,,,,,,,,,,,,,,
Woods and forests: Woodlands， bamboo groves， mountainous areas， bamboo forests， etc.,,,,,,,,,,,,,,,,
Fields: Grasslands and other uncultivated land with shrubbery， wastelands， etc.,,,,,,,,,,,,,,,,
資料：都都市整備局都市づくり政策部土地利用計画課「東京の土地利用」 Source: Bureau of Urban Development， TMG,,,,,,,,,,,,,,,,
地域階層（0:区部・市部・郡部・島部　1:区市町村）,,,,,,,,,,,,,,,,
（単位　ヘクタ－ル）(In hectare),,,,,,,,,,,,,,,,
