name,type,height,perimeter,width,route,route_name,route_nickname,route_type,longitude,latitude
クスノキ,高木,10,123,4,9,川崎府中線,多摩川通り,主要地方道,139.5001521,35.65950357
イチョウ,高木,9,123,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5001157,35.6441346
イチョウ,高木,9,123,3.5,9,川崎府中線,多摩川通り,主要地方道,139.5000872,35.64434444
サザンカ,高木,6,64,1.5,9,川崎府中線,多摩川通り,主要地方道,139.5000634,35.64435774
クスノキ,高木,9,111,4,9,川崎府中線,多摩川通り,主要地方道,139.500052,35.65951747
クスノキ,高木,10,136,4,9,川崎府中線,多摩川通り,主要地方道,139.5000494,35.65940205
シュロ,高木,7,,2,9,川崎府中線,多摩川通り,主要地方道,139.500047,35.644359
シラカシ,高木,8,87,4,9,川崎府中線,多摩川通り,主要地方道,139.5000365,35.64437018
イチョウ,高木,9,120,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4999957,35.64419221
クスノキ,高木,9,112,4,9,川崎府中線,多摩川通り,主要地方道,139.4999529,35.65953548
ヒメシャラ,高木,7,31,2,9,川崎府中線,多摩川通り,主要地方道,139.4999512,35.65942204
イチョウ,高木,9,118,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4999315,35.64421545
イチョウ,高木,9,129,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4999062,35.64442284
クスノキ,高木,11,131,4,9,川崎府中線,多摩川通り,主要地方道,139.4998632,35.65942887
イチョウ,高木,9,139,4,9,川崎府中線,多摩川通り,主要地方道,139.4998485,35.64425784
イチョウ,高木,9,112,3.5,9,川崎府中線,多摩川通り,主要地方道,139.4998107,35.64446638
クスノキ,高木,9,108,4,9,川崎府中線,多摩川通り,主要地方道,139.4998106,35.65955495
イチョウ,高木,9,128,4,9,川崎府中線,多摩川通り,主要地方道,139.4997806,35.64429033
イチョウ,高木,9,118,3.5,9,川崎府中線,多摩川通り,主要地方道,139.499765,35.64448726
クスノキ,高木,11,150,4,9,川崎府中線,多摩川通り,主要地方道,139.4997575,35.65944733
シラカシ,高木,7.5,76,4,9,川崎府中線,多摩川通り,主要地方道,139.49973,35.64450338
クスノキ,高木,9,141,4,9,川崎府中線,多摩川通り,主要地方道,139.4996992,35.65958065
イチョウ,高木,9,117,4,9,川崎府中線,多摩川通り,主要地方道,139.4996876,35.64452232
イチョウ,高木,9,116,4,9,川崎府中線,多摩川通り,主要地方道,139.4996663,35.64434641
ナツツバキ,高木,4,50,2,9,川崎府中線,多摩川通り,主要地方道,139.4996495,35.64453679
イチョウ,高木,9,,4,9,川崎府中線,多摩川通り,主要地方道,139.4996167,35.64455404
